Question,Answer
How to mark entry or update entry of the students?,"To mark or update the entry of students, follow the steps given: Step 1: Select the Visitor Management module and then select the Visitor Management under the Visitor Management menu. (Visitor Management-->Visitor Management-->Visitor Management) Step 2: Select the Students/Staff Outside Campus and then select the Student Gatepass option and against the respective student , click on Mark Entry. Update the In Time and click on Update."
How to mark entry or update entry of Staff?,"To mark or update the entry of staff, follow the steps given: Step 1: Select the Visitor Management module and then select the Visitor Management under the Visitor Management menu. (Visitor Management-->Visitor Management-->Visitor Management) Step 2: Select the Students/Staff Outside Campus and then select the Staff Gatepass option and against the respective staff , click on Mark Entry. Update the In Time and click on Update."
How to check or view the Gate pass issued details or Gate pass details?,"To check or view the Gate pass issued details or the gate pass details, select the steps given: Step 1: Select the Visitor Management module and then select the Visitor Management under the Visitor Management menu. (Visitor Management-->Visitor Management-->Visitor Management) Step 2: Select the Today's GatePass and then select the respective date and the details will appear accordingly."
How to approve or reject the Student Gate Pass?,"To approve or reject the student gate pass or gate pass of students, follow the steps given below: Step 1: Select the Visitor Management module and then select the Approve Student Gate Pass under the Approvals menu. (Visitor Management-->Approvals-->Approve Student Gate Pass) Step 2: Select the Date and then select Pending option. The details will appear. Against the respective student click on Approve or Reject accordingly."
How to view or check Pending or Approved Gate Passes or Rejected Gate Passes of Students?,"To view or check Approved Gate Passes or Rejected Gate Passes of Students, follow the steps given: Step 1: Select the Visitor Management module and then select the Approve Student Gate Pass under the Approvals menu. (Visitor Management-->Approvals-->Approve Student Gate Pass) Step 2: Select the respective Date and select the options Pending/Approved/Rejected Gate Passes accordingly. The details according to the selected options will appear."
How to approve or reject Outsiders/Guests Visitors requests?,"To approve or reject Outsiders/Guests Visitors requests, follow the steps given below: Step 1: Select the Visitor Management module and then select the Approve Out Side Visitors Requests under the Approvals menu. (Visitor Management-->Approvals-->Approve Out Side Visitors Requests) Step 2: Select the respective date and click on Get. The details will appear. Against the respective visitor click on Approve or Reject according to your preference."
How to check or view the Out side Visitors approval Requests?,"To check or view the Out side Visitors approval Requests, follow the path given: Visitor Management-->Approvals-->Out Side Visitors Requests-->Select Date and Click on Get-->The Details will appear accordingly."
How to view or check Vendors Phone Book or Vendor Details?,"To view or check Vendors Phone Book or Vendor Details, follow the steps given below: Step 1: Select the Visitor Management module and then select the Vendors Phone Book under the Visitor Management menu. (Visitor Management-->Visitor Management-->Vendors Phone Book) Step 2: Select the Vendor Department and the details like Mobile No, Email, Adhaar Numer, Designation and Company Name will appear accordingly."
How to get or check the visitor management report?,"To get or check the visitor management report, follow the steps given below: Step 1: Select the Visitor Management module and then select the Visitor Management Report under the Visitor Management menu. (Visitor Management-->Visitor Management-->Visitor Management Report) Step 2: Select the Type(Student Gate Pass/ Staff Gate Pass/Parent Visitor/Outside Visitor/Material Gate Pass), Date Type, Date Range and click on Get. The details will appear accordingly."
How to add Display Signatures for Visitor slip or Gate Pass?,"To add display signatures for visitor slip or gate pass/ visitor and gate pass digital signatures, follow the steps given: Step 1: Select the Visitor Management module and then select the Visitors and Gate Pass Display Signatures under the Visitor Management menu. (Visitor Management-->Visitor Management-->Visitors and Gate Pass Display Signatures) Step 2: Click on +Display Signature. Select the sequence no, Display Signature, Applicable To(Student Pass/ Staff Gate Pass/Material Gate Pass/Parent Visitors/Outside Visitors/Material Gate Pass) and then click on Save."
How to edit or delete the Display Signatures in visitor management?,"To edit or delete display signatures for visitor slip or gate pass/ visitor and gate pass digital signatures, follow the steps given: Step 1: Select the Visitor Management module and then select the Visitors and Gate Pass Display Signatures under the Visitor Management menu. (Visitor Management-->Visitor Management-->Visitors and Gate Pass Display Signatures) Step 2: Against the respective display signature, click on Edit icon and edit changes like sequence no or signature accordingly and click on Save. To delete, click on the Delete Icon accordingly."
How to upload Applications or Application Details?,"To upload applications or application details, follow the steps given: Step 1: Select the Admissions module and then select the Upload Application under the Front Office menu. (Admissions-->Front Office-->Upload Application) Step 2: Select the Academic Year, Admission Type, Admission In to Class/Grade, Source, Country, Payment Mode, Receiving Account, Receipt Type then click on Download File Format. Step 3: The respective format will be downloaded, update the details accordingly and save the file. Click on Choose Files and select the respective file or saved file and click on Validate to Upload. Step 4: The Correct and Incorrect Count will be given. Check accordingly and click on Upload."
How to download Admission Form of students?,"To download admission form of student individual wise, follow the path given: Admissions-->Front Office-->Application Form-->Select the Academic Year, Stage as Admission Taken-->Select Board, Classes, Source, Date then click on Get--> Against the respective student click on application number and the Admission form"
How to change or edit the student name or child name?,"To edit or change the child name or student name, follow the path given: SIS-->Enrollments-->Update Student Details-->Select the Class- Section and click on Get-->Select Student Details-->Search the student and click against student name-->Update the changes and click on Tick Mark to save the changes."
How to check or get Report Card Formats or Report Card Templates?,"To check or get Report Card formats or Report Card Templates, follow the steps given below: PATH - 1: (For Branch Level Users) Step 1: Select the Grade Book module and then select the Report Card Templates under the Manage menu. (Grade Book-->Manage-->Report Card Templates) Step 2: i) To check school based report card template, select Your School Report Card Template option. Select the Academic Year and click on Get. The formats will appear accordingly. ii) Select MCB Term Report Card Template Gallery option to check the MCB Templates term wise. Select the Master Class, Board, Academic Year and click on Get. The formats or templates will appear. iii) Select MCB Evaluation Report Card Template Gallery option to check the MCB Templates evaluation wise. Select the Master Class, Board, Academic Year and click on Get. The formats or templates will appear. PATH - 2: (For Admin Level Users) Step 1: Select the Grade Book module and then select the Report Card Templates under the Grade Book menu. (Grade Book-->Grade Book-->Report Card Templates) Step 2: i) To check school based report card template, select Your School Report Card Template option. Select the Branch, Academic Year and click on Get. The formats will appear accordingly. ii) Select MCB Term Report Card Template Gallery option to check the MCB Templates term wise. Select the Master Class, Board, Academic Year and click on Get. The formats or templates will appear. iii) Select MCB Evaluation Report Card Template Gallery option to check the MCB Templates evaluation wise. Select the Master Class, Board, Academic Year and click on Get. The formats or templates will appear."
How to edit or change Master Class of the Classes?,"To edit or change Master Class of the Classes, follow the path given: Settings-->Organisation-->Manage Organisation-->Select Classes option -->Select Branch Type-Board-Click Get-->Against the respective class click on Edit Icon, update the master class then click on the Update."
How to check medicine stock details?,"To check the Medicine Stock Details, follow the path given: Infirmary-->Infirmary-->Infirmary Stocks-->Select the Type as Medicine-->Click on Get-->The Stock details will appear accordingly like Type, Medicine Name, Quantity, Quantity Type, Cost per each Quantity,Total Cost, Expiry Date and Created Date."
How to check or get the stock details in Infirmary?,"To check or get the stock details in Infirmary, follow the path given below: Infirmary-->Infirmary-->Infirmary Stocks-->Select the Type-->Click on Get-->The Stock details will appear accordingly like Type, Medicine Name, Quantity, Quantity Type, Cost per each Quantity,Total Cost, Expiry Date and Created Date."
How to upload Staff/teacher Photo/Profile Picture ?,"To upload or update staff/teacher photo/profile picture, follow the path given: Search the Staff from the Search bar-->Click on the Profile Icon-->Select the Upload Image/Capture Image-->If Upload is selected choose the respective file and upload the photo or picture.If Capture option is selected, click on Take Snapshot option and capture the picture or photo."
How to edit promotion effective date?,"To edit promotion effective date, follow the path given: Settings-->SIS-->Student Promotion Settings-->Select Type of Promotion,Branch, Academic Year-->Click on Show-->Select the respective classes, update the date and click on Save."
How to get or print the Students list or Student Details Class wise?,"To get or print the students list or students details class wise, follow the path given: SIS-->Reports-->Student Contact Details-->Select the Class, Section, Category and Status of the Students-->Click on Get-->The Student Details will appear-->To print or download details, click on the Excel Icon. NOTE: The Columns in the report can be added or removed accordingly by clicking on +Add/Remove Columns option."
How to demote Students?,"To demote students, follow the path given: SIS-->Enrollments-->Promoting Students-->Select the Current Class, Current Section and Promoting Year then click Get--> Select All Students List option--> Select the respective student and update status(promoted/detained/financial demotion) from drop down and click on Save."
How to enter or edit or update the Unique Code of the Student or Parent?,"To enter or edit or update the Unique Code of the Student or Parent, follow the path given: SIS-->Enrollments-->Update Student Details-->Select the Class - Section-->Click On Get--> Select Govt Unique Codes option-->Against the respective student, enter the details and Click on Tick Mark to Save--> To edit, click on the code which is entered, update it accordingly and click on Tick Mark to save the details."
How to edit or update the Enquiry Form or Enquiry Details?,"To edit or update the Enquiry Form or Enquiry Details, follow the steps given below: Step 1: Select the Admissions module and then select the Enquiry Form under the Front Office menu. (Admissions-->Front Office-->Enquiry Form) Step 2: Select the respective Academic Year, Enquiry Stage, Grade, Source, Date Range, Enquiry Date Order and then click on Get. Step 3: The Student Details will appear accordingly. Against the respective student, click on the Edit icon given, make the changes accordingly and click on Save."
How to contact MCB Team?,"To contact MCB Team for resolving the Concerns, kindly mail us at support@myclassboard.in and our support team will do the needful."
How to find an enquiry using mobile number or contact number?,"To find an enquiry using contact number or mobile number, follow the any of the paths given below: PATH - 1: Admissions--->Select the Search Icon--->Select Enquiry Search--->Select the Academic Year, Search Type as Mobile Number and give the number accordingly then click on Get. The Enquiry details will appear. PATH - 2: Admissions--->Front Office--->Enquiry Form--->Create Enquiry--->Select the Academic Year, Search Type as Mobile Number and give the number accordingly then click on Get. The Enquiry details will appear."
How to give option to edit or update the profile photos from Parent Login?,"To give or enable the option to edit or update the profile photos from parent login, follow the path given: Settings--->Organisation--->User Type Preferences--->Click on Create New Settings--->The details will appear--->Under Student Details, select the check box against Photo Upload option and if you want to edit or update parent profile photos also then select the photo option under Father Details and Mother details as well--->Then select the Dates and Branch accordingly and click on Save."
How to add or create the Student News letter ?,"To add or create the Student News letter, follow the path given: Communication--->Communication--->News Letter--->Click on Add--->Give the Document Name and Description accordingly and click on Save--->Then click on Add Files to upload the file--->Click on Browse option, select the respective file and click on Upload. NOTE: If you want to view the file, click on View Files option against the respective Document then the file details will appear."
How to add or create Staff News letter?,"To add or create the Staff News letter, follow the path given: Communication--->Communication--->Select Staff News Letter on the top right corner---> Click on Add--->Give the Document Name and Description accordingly and click on Save---> Then click on Add Files to upload the file--->Click on Browse option, select the respective file and click on Upload. NOTE: If you want to view the file, click on View Files option against the respective Document then the file details will appear."
How to approve or reject date change request?,"To approve or reject date change request, follow the path given: Finance--->Approvals--->Fee Payment Change Requests--->Select the Academic Year, Location, Type as Date Change and click on Get--->The requests will appear--->Against the respective request, approve or reject according to your preference."
How to change or update Student Category?,"To change or update the student category, follow the path given: SIS--->Enrollments--->Update Student Details--->Select the respective class and click on Get--->Select Student Details--->On the left of the screen, select the Student Category option--->Against the respective student, update the category and Save."
How to update or upload Study Material?,"To update or upload Study Material, follow the steps given below: Step 1: Select the Content Management module and then select the Learning under the Learning menu. (Content Management--> Learning--> Learning) Step 2: Select the Subject Type, Board, Class Programme and then click on Get. Step 3: Select the Class and then select the subject accordingly. Against the selected subject, click on Manage Chapters. Step 4: Against the respective chapter, click on the arrow mark and then click on + Chapter Resources. Step 5: Select the Topic, Resource related to, Resource Type and then upload the resource by choosing the files accordingly. Allow the access and then click on Save."
How to create or add Parent Concern Types?,"To create or add Parent Concern Types, follow the steps given: Step 1: Select the Concerns module and then select the Create Concern Type under the Concerns menu. (Concerns--->Concerns--->Create Concern Type) Step 2: Select Parent Concerns option and then click on the +icon against the respective category for which you want to add a concern type. Step 3: Give the Concern type name , Description and select the responsible person at the organization level, User Name and then click on Save."
How to create or add Staff Concern Types?,"To create or add Staff Concern Types, follow the steps given: Step 1: Select the Concerns module and then select the Create Concern Type under the Concerns menu. (Concerns--->Concerns--->Create Concern Type) Step 2: Select Staff Concerns option and then click on Add Concern Type against the respective category for which you want to add a concern type. Step 3: Give the Concern type name , Description and select the responsible person at the organisation level, User Name and then click on Save."
How to create or add Inter Office Concern Types?,"To create or add Inter Office Concern Types, follow the steps given: Step 1: Select the Concerns module and then select the Create Concern Type under the Concerns menu. (Concerns--->Concerns--->Create Concern Type) Step 2: Select Inter Office Concerns option and then click on Add Concern Type against the respective category for which you want to add a concern type. Step 3: Select the Concern type, give Description and select the responsible person at the organisation level, User Name and then click on Save."
How to edit or update Parent Concern Types?,"To edit or update Parent Concern Types, follow the steps given: Step 1: Select the Concerns module and then select the Create Concern Type under the Concerns menu. (Concerns--->Concerns--->Create Concern Type) Step 2: Select Parent Concerns option and select tj against the respective category for which you want to add a concern type. Step 3: Give the Concern type name , Description and select the responsible person at the organization level, User Name and then click on Save."
How to delete the Timetable Structure?,"To delete the Timetable Structure, follow the steps given below: Step 1: Select the SIS module and then select the Timetable Structure under the Timetable menu. (SIS--->Timetable--->Timetable Structure) Step 2: To delete the Time table structure, first we have to delete or unassign the classes that are mapped to the respective Timetable Structure. To delete the classes, select the Schedule Timetable option and select the Class Category or program then select the class and click on the delete icon against the sections that are mapped to the respective timetable structure. Step 3: After deleting or unassigning the classes, to delete the structure, select the Timetable Structure option on the top and against the respective structure name, click on the Delete option."
Where to post the homework for students?,"To post the homework for students, follow the steps given: Step 1: Select the Communication module and then select the Student Diary under the Communication menu. (Communication--->Communication--->Student Diary) Step 2: Select the Diary Date and click Get. Select the Subject wise Diary/ General diary accordingly and then click on +Diary option. Step 3: Select the Class, Sections, posted on behalf of and give the title and description and upload the attachments if there are any by selecting the Browse option then click on Save. The Diary or home work will be posted. If Approval Settings are enabled, then the Principal/Class Coordinator should approve the diary. Only then the diary will be posted in the Parent Portal. To approve the diary, follow the path given below: Communication--->Approvals--->Approve Diary--->Select the Pending Diary option and approve or reject according to your preference."
How to add scholastic test marks or enter Scholastic marks?,"To add scholastic test marks or enter Scholastic marks, follow the steps given below: Step 1: To enter the marks, select the Grade Book module and then select the Scholastic test marks Entry sub menu under the Grade Book menu. (Grade Book-->Grade Book-->Scholastic Test Marks Entry) Step 2: Select the Class, Section, Term, Evaluation , Subject and Sort By options then click on Get. Select the respective tests to enter the marks and then click on Proceed to Enter Marks. Step 3: The Students will appear. Enter the marks accordingly and click on Save option on the top to save marks in bulk. To save marks by student wise click on the tick mark given against each student."
How to check students birthday datewise?,"To check students birthday date wise, follow the steps given: Step 1: Select the Communication module and then select the Student Birthday Calendar under the Communication menu. (Communication--->Communication--->Student Birthday Calendar) Step 2: Select the Class, Section, Academic Months and click on Get. Step 3: The dates will appear. Select the respective date to get the student details who have their birthdays on the selected date."
How can we change point of contact of students?,"To change point of contact of the students, follow the steps given below: Step 1: Select the SIS module and then select the Update Student Details under the Enrollments menu. (SIS--->Enrollments--->Update Student Details) Step 2: Select the Class Section and click on Get. Select the Parent Details option and then select Parents Mobile Number on the left side of the screen. Step 3: Against the respective student, click on the edit icon, change the point of Contact accordingly and update the numbers then click on Update."
How to approve leave of staff?,"To approve leave of staff, follow the steps given below: Step 1: Select the HR module and then select the Approve Leaves under the Staff Leaves menu. (HR--->Staff Leaves--->Approve Leaves) Step 2: Select the Leave applied date and Departments then click on Show. Step 3: Select the Pending Leave Applications option and then select the staff accordingly and approve or reject according to your preference."
How to assign or map responsible person at branch level for Staff Concerns?,"To assign or map responsible person at branch level for Staff Concerns, follow the steps given below: Step 1: Select the Concerns module and then select the Create Concern Type under the Concerns menu. (Concerns--->Concerns--->Create Concern Type) Step 2: Select the Assign Responsible Person at Branch Level option and then click on Staff Concerns. Step 3: Select the respective branch, then against the respective concern type click on Assign.Select the User Type and User Name then click on Save option. Step 4: If you want to assign or map more than one person, then click on Add more users and select the User Type and User Name then click on Save option."
How to assign or map responsible person at branch level for Parent Concerns?,"To assign or map responsible person at branch level for Parent Concerns, follow the steps given below: Step 1: Select the Concerns module and then select the Create Concern Type under the Concerns menu. (Concerns--->Concerns--->Create Concern Type) Step 2: Select the Assign Responsible Person at Branch Level option and then click on Parent Concerns. Step 3: Select the respective branch, then against the respective concern type click on Assign.Select the User Type and User Name then click on Save option. Step 4: If you want to assign or map more than one person, then click on Add more users and select the User Type and User Name then click on Save option."
How to assign or map responsible person at branch level for Inter Office Concerns?,"To assign or map responsible person at branch level for Inter Office Concerns, follow the steps given below: Step 1: Select the Concerns module and then select the Create Concern Type under the Concerns menu. (Concerns--->Concerns--->Create Concern Type) Step 2: Select the Assign Responsible Person at Branch Level option and then click on Inter Office Concerns. Step 3: Select the respective branch, then against the respective concern type click on Assign.Select the User Type and User Name then click on Save option. Step 4: If you want to assign or map more than one person, then click on Add more users and select the User Type and User Name then click on Save option. Step 5: To define the work flow, select the +Define the work flow to handle the Concerns, select the Access Levels, User Types and Level No and then click on Save."
How to assign or map users to class categories?,"To assign or map users to class categories, follow the steps given below: Step 1: Select the Concerns module and then select the Map Organization Users to Class Categories under the Concerns menu. (Concerns--->Concerns--->Map Organization Users to Class Categories) Step 2: Select the Location, Branch, User Type then click on Get. Click on Assign Class Categories. Step 3: Select the User and then the class categories to assigned then click on Assign."
How to unassign class categories to the users?,"To unassign class categories to the users, follow the steps given below: Step 1: Select the Concerns module and then select the Map Organization Users to Class Categories under the Concerns menu. (Concerns--->Concerns--->Map Organization Users to Class Categories) Step 2: Select the Location, Branch, User Type then click on Get. Against the respective User Name, select the class category and then click on the Delete icon given against that class category to unassign."
How to search concerns?,"To search concerns, follow the steps given: Step 1: Select the Concerns module and then select Search Concerns under the Concerns menu. (Concerns--->Concerns--->Search Concerns) Step 2: Give the ticket reference number and then click on Search. Step 3: The Concern details like Concern Type, Message, Concern Booked by, Date and Status of the ticket will appear. Click on History option to check the Remarks."
How to update parent concerns?,"To update the parent concerns, follow the steps given: Step 1: Select the Concerns module and then select the Update Parent Concerns under the Concerns menu. (Concerns--->Concerns--->Update Parent Concerns) Step 2: Select the Academic Year, Concern Status, Date Range and then click on Get. Step 3: Select the Open option on the top. The Parent Concerns which are in open status will appear. Step 4: Click on the student name accordingly and the concern details will appear.Update the Status and Remarks then click on Submit."
How to update concern escalated by parent?,"To update concern escalated by parent, follow the steps given below: Step 1: Select the Concerns module and then select the Update Parent Concerns under the Concerns menu. (Concerns--->Concerns--->Update Parent Concerns) Step 2: Select the Academic Year, Concern Status, Date Range and click on Get. Step 3: Select the Escalated by Parent option and then click on the Student Name. Check the concern details, update the status and remarks then click on Submit."
How to create Journal Voucher?,"To create a journal voucher, follow the steps given below: Step 1: Select the Expense Management module and then select the Money Spent (New) under the Expense Management menu. (Expenses Management--->Expense Management--->Money Spent(New) Step 2: Select the Voucher Entry option and then select the Entry as Journal Entry. Click on +Add Journal Entry. Step 3: Select the Credit and Debit ledger. Enter the amount and narration, select the date and click on Save."
How to download all staff details in Excel?,"To download all staff details in Excel, follow the steps given below: Step 1: Select the HR Module and then select the Staff Details Report under the Reports menu. (HR--->Reports--->Staff Details Report) Step 2: Select the Staff Status(Active/Inactive/All), Department Type, Staff Departments and click on Show Report. Step 3: To export or download the details in to excel, click on the Excel option given on the top."
How to update Staff Concerns?,"To update Staff Concerns, follow the steps given below: Step 1: Select the Concerns module and then select the Update Staff Concerns under the Concerns menu. (Concerns--->Concerns--->Update Staff Concerns) Step 2: Select the Academic Year, Concern Status, Department, Date and click on Get. Select the Staff Concerns. Step 3: Select the respective concern, against that click on the Student Name. Update the Status and resolution by school then click on Submit."
How to update Staff Inventory Concerns?,"To update Staff Inventory Concerns, follow the path given: Step 1: Select the Concerns module and then select the Update Staff Concerns under the Concerns menu. (Concerns--->Concerns--->Update Staff Concerns) Step 2: Select the Academic Year, Concern Status, Department, Date and click on Get. Select the Staff Inventory Concerns option. Step 3: Click on the respective Student Name. Update the status and Resolution given by the school and click on Submit."
How to update the TC no or Transfer Certificate number?,"To update the TC no or Transfer Certificate number, follow the steps given: Step 1: Select the Certificates module and then select the Student Certificates under the Certificates menu. (Certificates--->Certificates--->Student Certificates) Step 2: Select the Certificate Type as Transfer Certificate and Date Range accordingly then click on Get. Step 3: Against the respective Academic Year, click on the Count given. The Student details for whom the TC is generated will appear. Step 4: Select the respective student and click on the Certificate no given against the selected student. Change the number and then click on Update."
How to send whatsapp messages to new admission students?,"To send whatsapp messages to new admission students, follow the steps given below: Step 1: Select the WhatsApp module and then select the Admission WhatsApp Messages under the Admissions menu. (WhatsApp--->Admissions--->Admission WhatsApp Messages) Step 2:"
How to find out house allotted to the students?,"To find out house allotted to the students, follow the steps given below: Step 1: Select the SIS module and then select the Manage Student Groups under the Student Groups menu. (SIS--->STUDENT GROUPS--->MANAGE STUDENT GROUPS) Step 2: Select the Academic Year , Group Status(Active/Inactive) and click on Get. Select the House Category on the top. Step 3: To find out the student details against the House, click on the Gender wise Count given. The Student details will appear."
How to create or add Services?,"To create or add Services, follow the steps given: Step 1: Select the School Services and then select the Create Services under the Services Settings menu. (School Services--->Services Settings--->Create Services) Step 2: Select the Academic Year and then click on Get. Select Services to Providers option and then click on the +icon against Service/Activity Category. Step 3: Select the Category Name and give the Service Name and then click on Save. Step 4: To map the provider, click on the +icon against the respective service name, select the provider and then click on Save to map."
How to edit or update the Service Category or Service Name?,"To edit or update the Service Category or Service Name, follow the steps given: Step 1: Select the School Services module and then select the Create Services under the Services Settings menu. (School Services--->Services Settings--->Create Services) Step 2: Select the Academic Year and click on Get. Against the respective Service Name, click on Edit icon and update the Category or Service name accordingly and click on Update."
How to create or add the Service Fee Plans?,"To create or add the Service Fee Plans, follow the steps given: Step 1: Select the School Services module and then select the Create Service Fee Plans under the Services Settings menu. (School Services--->Services Settings--->Create Service Fee Plans) Step 2: Select the respective Academic Year and School Service then click on Get. Click on +Add Plan option. Step 3: Give the Fee Plan Name and select the Subscriber Types, Applicable Plan Date,Provider Name, Location/Branch, Fee Account Name, Amount and click on Save option."
How to delete or remove the Service?,"To delete or remove the service, follow the steps given below: Step 1: Select the School Services module and then select Create Services under the Services Settings menu. (School Services--->Services Settings--->Create Services) Step 2: Select the Academic Year and click on Get. To delete or remove the Service, first we have to delete the provider mapped. To delete the provider, click on the delete icon. Step 3: After deleting the Provider, click on the delete icon against the respective Service Name, then the service name will be deleted. If no providers are mapped to the service then directly by clicking on the delete icon against the respective service the service will be deleted or removed."
How to enter or update the GR Number?,"To enter or update the GR Number, follow the steps given below: Step 1: Select the SIS Module and then select the Update Student Details under the Enrollments menu. (SIS--->Enrollments--->Update Student Details) Step 2: Select the Class- Section and click on Get. Select the Reference codes option under the Student Details category. Step 3: Select the respective student and update the numbers or codes accordingly and click on the Tick Mark given at the corner to save the details."
How to disable the classes?,"To disable the classes, follow the steps mentioned below: Step 1: To disable the classes, select the Profile icon and then select the Settings. Then, select the Organisation menu. Under Manage Organisation, select the Classes option. (Settings ---> Organisation ---> Manage Organisation ---> Classes) Step 2: Select the Branch Type and Board accordingly then click on Get option. The list of the classes will appear. Step 3: Against the respective class, click on the Delete icon and Are you sure to disable the class, pop up will appear. Click on Yes, Disable it. The Class will be disabled. NOTE : Only System Admin will have the access for the Settings."
How to receive the items after raising the purchase order?,"To receive the items after raising the purchase order, follow the steps given below: Step 1: To receive the items after raising the purchase order, select the Inventory module and then select the Purchase Order option under the Stock Management menu. (Inventory ---> Stock Management ---> Purchase Order) Step 2: Select the Financial Year, Store and Branch accordingly and click on Get. The Purchase Order details will appear. Step 3: Against the respective purchase order, to receive the items, click on the + icon which is given against the Received Quantity field and update the details like Invoice Number, Delivery Challan No, Item details like Good Condition Received and Damage Received , update the remarks and click on Save."
test,test
How to create new section?,"To create a new section, follow the path given below: Step 1: Settings---> Organisation-->Manage Organisation--> Class Structure --> Select class and click on Edit in action --> Add Section --> Click on Update. After adding section, please assign it to branch. Step 2: Settings--> Organisation--> Assign Sections--> Select the check box of that particular class section and save it."
How to update height and weight of the students?,"To enter or update the height and weight of the students, follow the steps given below: Step 1: To enter height and weight for the students, go to the Activities Games and PET. Then select the Student Health Details under the Health & Activity menu. (Activities Games and PET -----> Health & Activity -----> Student Health Details) Step 2: Select the respective Class and section, Type (Term wise/Month wise), Sort By and then select the height and weight check boxes then click on Get. Step 3: Against the respective enter the height and weight accordingly then save it individual wise or in a bulk. If you want, you can even edit or delete the details accordingly."
How to enter the student APAAR ID?,"To enter the APAAR ID of the student, follow the steps given below: Step 1: Select the SIS Module and then select the Update Student Details under the Enrollments menu. (SIS -----> Enrollments -----> Update Student Details) Step 2: Select the respective class and section then click on Get option. Select the ABC ID and APAAR option on the top. Step 3: Against the respective student enter the ID accordingly and then click on the Tick mark to save the details."
How to check the Marks Entry Status of the Students?,"To check the Marks Entry Status of the Students, follow the steps given below: Step 1: Select the Cambridge Grade Book module and then select the Marks Entry Status option under the Reports menu. (Cambridge Grade Book ---> Reports ---> Marks Entry Status) Step 2: Select the respective Class, Term and Evaluation then click on the Get option. Step 3: The Marks Entry Status can be checked for all the subjects by selecting All Subjects option or can be checked subject wise as well, by selecting the respective subject."
How to check the Marks Entry Status of the Students?,"To check the Marks Entry Status of the Students, follow the steps given below: Step 1: Select the Cambridge Grade Book module and then select the Marks Entry Status option under the Reports menu. (Cambridge Grade Book ---> Reports ---> Marks Entry Status) Step 2: Select the respective Class, Term and Evaluation then click on the Get option. Step 3: The Marks Entry Status can be checked for all the subjects by selecting All Subjects option or can be checked subject wise as well, by selecting the respective subject."
How to change academic year?,"To change the current academic year, follow the steps given below: Step 1: Select the Settings option (Organisation level user) and then select the Academic Year Mapping under the Organisation menu. (Settings --> Organisation --> Academic Year Mapping) Step 2: Under the Is Current Academic Year, click on Change Current AY, select the respective academic year and then click on Change. Step 3: Then, click on Save. The academic year will be changed."
How to create the Student ID Card Designs?,"To create the Student ID Card Designs, follow the steps given below: Step 1: Select the Certificates module and then select the ID Card Design under the ID Cards menu. (Certificates ---> ID Cards ---> ID Card Design) Step 2: Select the Student ID Card Designs Tab, if you want to select the existing default template or design then click on +Browse from MCB Templates. To create a new design, click on +Proceed to Create New Design. Step 3: If +Browse from MCB Templates option is selected, pick the respective format and click on the Use this Template, give the name accordingly and then click on Save. If +Proceed to create new design is selected, give the ID Card Name and then design front and back of the ID card then click on Save option."
How to create the Staff ID Card Designs?,"To create the Staff ID Card Designs, follow the steps given below: Step 1: Select the Certificates module and then select the ID Card Design under the ID Cards menu. (Certificates ---> ID Cards ---> ID Card Design) Step 2: Select the Staff ID Card Designs Tab, if you want to select the existing default template or design then click on +Browse from MCB Templates. To create a new design, click on +Proceed to Create New Design. Step 3: If +Browse from MCB Templates option is selected, pick the respective format and click on the Use this Template, give the name accordingly and then click on Save. If +Proceed to create new design is selected, give the ID Card Name and then design front and back of the ID card then click on Save option."
How to print Student ID Cards?,"To print Student ID Cards, follow the steps given below: Step 1: Select the Certificates module and then select the Print Student ID Cards under the ID Cards menu. (Certificates ---> ID Cards ---> Print Student ID Cards) Step 2: Select the details like Class, Section, House Group, Admission Type, Student Type, Transport, Design Type and Students then click on Get. Step 3: The ID Cards can be viewed according to the design selected. preview it and then click on Print."
How to print staff Id Cards?,"To print Staff ID Cards, follow the steps given below: Step 1: Select the Certificates module and then select the Print Staff ID Cards under the ID Cards menu. (Certificates ---> ID Cards ---> Print Staff ID Cards) Step 2: Select the details like Department, ID card design type, staff, status (active/inactive) then click on Get. Step 3: The ID Cards can be viewed according to the design selected. Preview it and then click on Print."
How to bulk print the student ID cards?,"To bulk print the student ID cards, follow the steps given below: Step 1: Select the Certificates module and then select Bulk Student ID cards under the Reports menu. (Certificates ---> Reports ---> Bulk Student ID Cards) Step 2: Select the details like Class, Section, Transport Type, Category, Id card design type, Admission type, students, no. of id cards in a row, no. of rows per page, space between each id card, display type, format type, width and height then click on Print Student ID Cards."
How to bulk print the Staff ID cards?,"To bulk print the staff ID cards, follow the steps given below: Step 1: Select the Certificates module and then select Bulk Staff ID cards under the Reports menu. (Certificates ---> Reports ---> Bulk Staff ID Cards) Step 2: Select the details like Department, Id card design type, Admission type, status, no. of id cards in a row, no. of rows per page, space between each id card, display type, width and height then click on Print Staff ID Cards."
How to generate student bar codes?,"To generate student barcodes, follow the steps given below: Step 1: Select the Certificates module and then select the Student Barcode Generator under the ID Cards menu. (Certificates ---> ID Cards ---> Student Barcode Generator) Step 2: Select the Class, Section and then click on Get. Barcodes can be generated based on Enrollment Code or Reference code of students. Step 3: Select the tab Based on Enrollment Code/ Reference code accordingly, then select the students and click on Save. Image path will be updated."
